arfcn;name;uplink;downlink
186;GSM-850;835.8;880.8
187;GSM-850;836;881
188;GSM-850;836.2;881.2
189;GSM-850;836.4;881.4
190;GSM-850;836.6;881.6
191;GSM-850;836.8;881.8
192;GSM-850;837;882
193;GSM-850;837.2;882.2
194;GSM-850;837.4;882.4
195;GSM-850;837.6;882.6
196;GSM-850;837.8;882.8
197;GSM-850;838;883
198;GSM-850;838.2;883.2
199;GSM-850;838.4;883.4
200;GSM-850;838.6;883.6
201;GSM-850;838.8;883.8
202;GSM-850;839;884
203;GSM-850;839.2;884.2
204;GSM-850;839.4;884.4
205;GSM-850;839.6;884.6
206;GSM-850;839.8;884.8
207;GSM-850;840;885
208;GSM-850;840.2;885.2
209;GSM-850;840.4;885.4
210;GSM-850;840.6;885.6
211;GSM-850;840.8;885.8
212;GSM-850;841;886
213;GSM-850;841.2;886.2
214;GSM-850;841.4;886.4
215;GSM-850;841.6;886.6
216;GSM-850;841.8;886.8
217;GSM-850;842;887
218;GSM-850;842.2;887.2
219;GSM-850;842.4;887.4
220;GSM-850;842.6;887.6
221;GSM-850;842.8;887.8
222;GSM-850;843;888
223;GSM-850;843.2;888.2
224;GSM-850;843.4;888.4
225;GSM-850;843.6;888.6
226;GSM-850;843.8;888.8
227;GSM-850;844;889
228;GSM-850;844.2;889.2
229;GSM-850;844.4;889.4
230;GSM-850;844.6;889.6
231;GSM-850;844.8;889.8
232;GSM-850;845;890
233;GSM-850;845.2;890.2
234;GSM-850;845.4;890.4
235;GSM-850;845.6;890.6
236;GSM-850;845.8;890.8
237;GSM-850;846;891
238;GSM-850;846.2;891.2
239;GSM-850;846.4;891.4
240;GSM-850;846.6;891.6
241;GSM-850;846.8;891.8
242;GSM-850;847;892
243;GSM-850;847.2;892.2
244;GSM-850;847.4;892.4
245;GSM-850;847.6;892.6
246;GSM-850;847.8;892.8
247;GSM-850;848;893
248;GSM-850;848.2;893.2
249;GSM-850;848.4;893.4
250;GSM-850;848.6;893.6
251;GSM-850;848.8;893.8
259;GSM-450;450.6;460.6
260;GSM-450;450.8;460.8
261;GSM-450;451;461
262;GSM-450;451.2;461.2
263;GSM-450;451.4;461.4
264;GSM-450;451.6;461.6
265;GSM-450;451.8;461.8
266;GSM-450;452;462
267;GSM-450;452.2;462.2
268;GSM-450;452.4;462.4
269;GSM-450;452.6;462.6
270;GSM-450;452.8;462.8
271;GSM-450;453;463
272;GSM-450;453.2;463.2
273;GSM-450;453.4;463.4
274;GSM-450;453.6;463.6
275;GSM-450;453.8;463.8
276;GSM-450;454;464
277;GSM-450;454.2;464.2
278;GSM-450;454.4;464.4
279;GSM-450;454.6;464.6
280;GSM-450;454.8;464.8
281;GSM-450;455;465
282;GSM-450;455.2;465.2
283;GSM-450;455.4;465.4
284;GSM-450;455.6;465.6
285;GSM-450;455.8;465.8
286;GSM-450;456;466
287;GSM-450;456.2;466.2
288;GSM-450;456.4;466.4
289;GSM-450;456.6;466.6
290;GSM-450;456.8;466.8
291;GSM-450;457;467
292;GSM-450;457.2;467.2
293;GSM-450;457.4;467.4
306;GSM-480;479;489
307;GSM-480;479.2;489.2
308;GSM-480;479.4;489.4
309;GSM-480;479.6;489.6
310;GSM-480;479.8;489.8
311;GSM-480;480;490
312;GSM-480;480.2;490.2
313;GSM-480;480.4;490.4
314;GSM-480;480.6;490.6
315;GSM-480;480.8;490.8
316;GSM-480;481;491
317;GSM-480;481.2;491.2
318;GSM-480;481.4;491.4
319;GSM-480;481.6;491.6
320;GSM-480;481.8;491.8
321;GSM-480;482;492
322;GSM-480;482.2;492.2
323;GSM-480;482.4;492.4
324;GSM-480;482.6;492.6
325;GSM-480;482.8;492.8
326;GSM-480;483;493
327;GSM-480;483.2;493.2
328;GSM-480;483.4;493.4
329;GSM-480;483.6;493.6
330;GSM-480;483.8;493.8
331;GSM-480;484;494
332;GSM-480;484.2;494.2
333;GSM-480;484.4;494.4
334;GSM-480;484.6;494.6
335;GSM-480;484.8;494.8
336;GSM-480;485;495
337;GSM-480;485.2;495.2
338;GSM-480;485.4;495.4
339;GSM-480;485.6;495.6
340;GSM-480;485.8;495.8
350;TGSM-810;806;816
351;TGSM-810;806.2;816.2
352;TGSM-810;806.4;816.4
353;TGSM-810;806.6;816.6
354;TGSM-810;806.8;816.8
355;TGSM-810;807;817
356;TGSM-810;807.2;817.2
357;TGSM-810;807.4;817.4
358;TGSM-810;807.6;817.6
359;TGSM-810;807.8;817.8
360;TGSM-810;808;818
361;TGSM-810;808.2;818.2
362;TGSM-810;808.4;818.4
363;TGSM-810;808.6;818.6
364;TGSM-810;808.8;818.8
365;TGSM-810;809;819
366;TGSM-810;809.2;819.2
367;TGSM-810;809.4;819.4
368;TGSM-810;809.6;819.6
369;TGSM-810;809.8;819.8
370;TGSM-810;810;820
371;TGSM-810;810.2;820.2
372;TGSM-810;810.4;820.4
373;TGSM-810;810.6;820.6
374;TGSM-810;810.8;820.8
375;TGSM-810;811;821
376;TGSM-810;811.2;821.2
377;TGSM-810;811.4;821.4
378;TGSM-810;811.6;821.6
379;TGSM-810;811.8;821.8
380;TGSM-810;812;822
381;TGSM-810;812.2;822.2
382;TGSM-810;812.4;822.4
383;TGSM-810;812.6;822.6
384;TGSM-810;812.8;822.8
385;TGSM-810;813;823
386;TGSM-810;813.2;823.2
387;TGSM-810;813.4;823.4
388;TGSM-810;813.6;823.6
389;TGSM-810;813.8;823.8
390;TGSM-810;814;824
391;TGSM-810;814.2;824.2
392;TGSM-810;814.4;824.4
393;TGSM-810;814.6;824.6
394;TGSM-810;814.8;824.8
395;TGSM-810;815;825
396;TGSM-810;815.2;825.2
397;TGSM-810;815.4;825.4
398;TGSM-810;815.6;825.6
399;TGSM-810;815.8;825.8
400;TGSM-810;816;826
401;TGSM-810;816.2;826.2
402;TGSM-810;816.4;826.4
403;TGSM-810;816.6;826.6
404;TGSM-810;816.8;826.8
405;TGSM-810;817;827
406;TGSM-810;817.2;827.2
407;TGSM-810;817.4;827.4
408;TGSM-810;817.6;827.6
409;TGSM-810;817.8;827.8
410;TGSM-810;818;828
411;TGSM-810;818.2;828.2
412;TGSM-810;818.4;828.4
413;TGSM-810;818.6;828.6
414;TGSM-810;818.8;828.8
415;TGSM-810;819;829
416;TGSM-810;819.2;829.2
417;TGSM-810;819.4;829.4
418;TGSM-810;819.6;829.6
419;TGSM-810;819.8;829.8
420;TGSM-810;820;830
421;TGSM-810;820.2;830.2
422;TGSM-810;820.4;830.4
423;TGSM-810;820.6;830.6
424;TGSM-810;820.8;830.8
425;TGSM-810;821;831
438;GSM-750;747.2;777.2
439;GSM-750;747.4;777.4
440;GSM-750;747.6;777.6
441;GSM-750;747.8;777.8
442;GSM-750;748;778
443;GSM-750;748.2;778.2
444;GSM-750;748.4;778.4
445;GSM-750;748.6;778.6
446;GSM-750;748.8;778.8
447;GSM-750;749;779
448;GSM-750;749.2;779.2
449;GSM-750;749.4;779.4
450;GSM-750;749.6;779.6
451;GSM-750;749.8;779.8
452;GSM-750;750;780
453;GSM-750;750.2;780.2
454;GSM-750;750.4;780.4
455;GSM-750;750.6;780.6
456;GSM-750;750.8;780.8
457;GSM-750;751;781
458;GSM-750;751.2;781.2
459;GSM-750;751.4;781.4
460;GSM-750;751.6;781.6
461;GSM-750;751.8;781.8
462;GSM-750;752;782
463;GSM-750;752.2;782.2
464;GSM-750;752.4;782.4
465;GSM-750;752.6;782.6
